Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Cert Acc1;Cert Acc 2;Cert Acc 3;
All2C2F,Sandwich,123,20,1.0,0.8946565765142552,97.31,0.9731000065803528,0.907800018787384,0.7709000110626221,0.7261999845504761,0.8309999704360962,82.43,35.05,1.86,59.18
All2C2F,Orthogon,123,20,1.0,0.9669512692868475,94.47,0.9447000026702881,0.8360999822616577,0.6491000056266785,0.5993000268936157,0.7290999889373779,71.72,24.89,1.3,46.05
All2C2F,Sandwich,123,20,2.0,1.693610536809046,98.9,0.9890000224113464,0.9322999715805054,0.7401999831199646,0.6746000051498413,0.8359000086784363,76.62,3.8,0.0,23.48
All2C2F,Orthogon,123,20,2.0,1.7212278364938967,97.67,0.9767000079154968,0.8913999795913696,0.6546000242233276,0.5751000046730042,0.7645000219345093,62.89,1.36,0.0,12.48
All2C2F,Sandwich,123,20,4.0,2.9057826825223656,99.31,0.9930999875068665,0.926800012588501,0.6398000121116638,0.5462999939918518,0.7817000150680542,33.43,0.0,0.0,0.44
All2C2F,Orthogon,123,20,4.0,2.760619034936673,98.7,0.9869999885559082,0.8931999802589417,0.5425999760627747,0.44279998540878296,0.7087000012397766,14.94,0.0,0.0,0.01
Lip2C2FPool,LipC2FPool,123,20,1.0,0.6257623791081697,89.19,0.8960999846458435,0.7368000149726868,0.5327000021934509,0.48829999566078186,0.6104000210762024,32.79,1.31,0.0,6.28
Lip2C2FPool,LipC2FPool,123,20,2.0,0.8122374036897696,91.75,0.9175999760627747,0.7519999742507935,0.5167999863624573,0.45509999990463257,0.6086000204086304,7.41,0.0,0.0,0.06
Lip2C2FPool,LipC2FPool,123,20,4.0,1.6288040824336845,95.73,0.9574999809265137,0.7882999777793884,0.414900004863739,0.33379998803138733,0.5701000094413757,2.54,0.0,0.0,0.0
AOL2C2F,AOL2C2F,123,20,1.0,0.9361352523749631,88.59,0.8859000205993652,0.6984000205993652,0.4828000068664551,0.43709999322891235,0.5620999932289124,54.1,12.62,0.64,30.16
AOL2C2F,AOL2C2F,123,20,2.0,1.730652947880389,93.08,0.9308000206947327,0.7583000063896179,0.47360000014305115,0.4000000059604645,0.5853999853134155,42.63,1.52,0.0,7.97
AOL2C2F,AOL2C2F,123,20,4.0,2.9179082861665635,95.87,0.9587000012397766,0.7825999855995178,0.384799987077713,0.3046000003814697,0.5425000190734863,10.55,0.0,0.0,0.15
All2C2F,Sandwich,296,20,1.0,0.9223758177665108,97.25,0.9725000262260437,0.9027000069618225,0.7591999769210815,0.7167999744415283,0.8263000249862671,82.75,35.73,2.15,59.71
All2C2F,Orthogon,296,20,1.0,0.9629880225267595,94.59,0.945900022983551,0.8379999995231628,0.6535000205039978,0.6079000234603882,0.7330999970436096,72.03,25.1,1.02,46.39
All2C2F,Sandwich,296,20,2.0,1.7240128830253567,98.83,0.9883000254631042,0.9294999837875366,0.7378000020980835,0.671500027179718,0.833899974822998,76.69,3.73,0.0,23.85
All2C2F,Orthogon,296,20,2.0,1.729970408170013,97.72,0.9771999716758728,0.892799973487854,0.6657000184059143,0.5867999792098999,0.7750999927520752,62.86,1.22,0.0,12.24
All2C2F,Sandwich,296,20,4.0,3.0326858737773663,99.31,0.9930999875068665,0.9235000014305115,0.6299999952316284,0.534500002861023,0.7718999981880188,35.4,0.0,0.0,0.38
All2C2F,Orthogon,296,20,4.0,2.990545634110482,98.78,0.9878000020980835,0.8962000012397766,0.5608000159263611,0.4643999934196472,0.7200000286102295,16.61,0.0,0.0,0.02
Lip2C2FPool,LipC2FPool,296,20,1.0,0.7296417369011027,91.15,0.9114999771118164,0.7628999948501587,0.5658000111579895,0.515999972820282,0.6464999914169312,46.01,4.31,0.06,14.95
Lip2C2FPool,LipC2FPool,296,20,2.0,1.3835631235223549,95.74,0.9574000239372253,0.820900022983551,0.5501999855041504,0.4747999906539917,0.6660000085830688,36.49,0.54,0.0,4.84
Lip2C2FPool,LipC2FPool,296,20,4.0,2.6152936317619235,97.27,0.9726999998092651,0.7936000227928162,0.3528999984264374,0.2770000100135803,0.5212000012397766,12.02,0.0,0.0,0.17
AOL2C2F,AOL2C2F,296,20,1.0,0.9077818190729691,88.79,0.8878999948501587,0.7141000032424927,0.5031999945640564,0.45809999108314514,0.5809000134468079,54.62,12.41,0.54,30.11
AOL2C2F,AOL2C2F,296,20,2.0,1.7035081764833362,93.08,0.9308000206947327,0.7627999782562256,0.46549999713897705,0.37380000948905945,0.5935999751091003,41.56,1.16,0.0,7.25
AOL2C2F,AOL2C2F,296,20,4.0,3.0091567169281315,96.01,0.960099995136261,0.7835000157356262,0.36090001463890076,0.28859999775886536,0.5321000218391418,10.99,0.0,0.0,0.17
All2C2F,Sandwich,1,20,1.0,0.9261172686776862,97.27,0.9726999998092651,0.9057999849319458,0.7651000022888184,0.7179999947547913,0.8295000195503235,82.66,35.71,2.01,59.39
All2C2F,Orthogon,1,20,1.0,0.9506211458688589,94.59,0.945900022983551,0.8384000062942505,0.652899980545044,0.6061999797821045,0.7336999773979187,72.09,25.01,1.08,46.37
All2C2F,Sandwich,1,20,2.0,1.6903188967746823,98.87,0.9886999726295471,0.930899977684021,0.7427999973297119,0.6710000038146973,0.8345000147819519,76.26,3.34,0.0,22.93
All2C2F,Orthogon,1,20,2.0,1.780550702340185,97.63,0.9763000011444092,0.8894000053405762,0.6607999801635742,0.5842999815940857,0.7662000060081482,62.73,1.45,0.0,12.55
All2C2F,Sandwich,1,20,4.0,2.9672704925099453,99.29,0.992900013923645,0.9261000156402588,0.6294000148773193,0.5392000079154968,0.7803000211715698,34.14,0.0,0.0,0.45
All2C2F,Orthogon,1,20,4.0,2.9316033774594974,98.85,0.9884999990463257,0.8980000019073486,0.5771999955177307,0.4731999933719635,0.7335000038146973,15.18,0.0,0.0,0.01
Lip2C2FPool,LipC2FPool,1,20,1.0,0.9221373362585408,94.27,0.9427000284194946,0.819599986076355,0.6171000003814697,0.5608000159263611,0.7003999948501587,64.65,14.14,0.4,35.49
Lip2C2FPool,LipC2FPool,1,20,2.0,1.7390623245170622,97.3,0.9729999899864197,0.8529000282287598,0.546500027179718,0.44429999589920044,0.6850000023841858,55.55,1.91,0.0,12.13
Lip2C2FPool,LipC2FPool,1,20,4.0,3.1204301608484863,98.34,0.9833999872207642,0.817799985408783,0.3361999988555908,0.25949999690055847,0.5231999754905701,19.5,0.0,0.0,0.29
AOL2C2F,AOL2C2F,1,20,1.0,0.9353505607531113,88.7,0.8870000243186951,0.704800009727478,0.48910000920295715,0.4438999891281128,0.5684000253677368,54.1,12.19,0.61,29.77
AOL2C2F,AOL2C2F,1,20,2.0,1.718880527048308,92.87,0.9286999702453613,0.7541999816894531,0.45879998803138733,0.36970001459121704,0.5821999907493591,43.05,1.94,0.0,8.61
AOL2C2F,AOL2C2F,1,20,4.0,2.889076601760473,95.93,0.9592999815940857,0.7789999842643738,0.36550000309944153,0.29600000381469727,0.5206999778747559,10.25,0.0,0.0,0.14
Lip2C2F,Lip2C2F,123,20,1.0,0.9503367868548257,96.69,0.9668999910354614,0.8848000168800354,0.7257999777793884,0.6847000122070312,0.7979000210762024,80.81,34.9,2.54,57.69
Lip2C2F,Lip2C2F,123,20,2.0,1.5683897782700673,97.98,0.9797999858856201,0.8942999839782715,0.6686999797821045,0.6019999980926514,0.7760999798774719,65.17,2.38,0.0,14.61
Lip2C2F,Lip2C2F,123,20,4.0,3.155529582076418,98.89,0.9889000058174133,0.8827999830245972,0.4921000003814697,0.392300009727478,0.6747000217437744,31.22,0.01,0.0,0.81
Lip2C2F,Lip2C2F,296,20,1.0,0.9540388385376313,96.51,0.9650999903678894,0.8812000155448914,0.7178000211715698,0.6730999946594238,0.7921000123023987,80.71,35.05,2.68,57.24
Lip2C2F,Lip2C2F,296,20,2.0,1.7803604180059496,98.33,0.983299970626831,0.8998000025749207,0.6628000140190125,0.5893999934196472,0.7793999910354614,74.25,5.83,0.01,24.4
Lip2C2F,Lip2C2F,296,20,4.0,3.092395524501362,98.92,0.9891999959945679,0.8902999758720398,0.5087000131607056,0.4099000096321106,0.6891000270843506,32.23,0.0,0.0,0.8
Lip2C2F,Lip2C2F,1,20,1.0,0.9508332701395221,96.62,0.9661999940872192,0.8820000290870667,0.7218000292778015,0.6754000186920166,0.7947999835014343,80.9,35.29,2.78,57.73
Lip2C2F,Lip2C2F,1,20,2.0,1.7598937196503435,98.34,0.9833999872207642,0.9000999927520752,0.6527000069618225,0.5766000151634216,0.7709000110626221,73.94,6.16,0.0,24.76
Lip2C2F,Lip2C2F,1,20,4.0,3.08180767839094,98.8,0.9879999756813049,0.8842999935150146,0.4878999888896942,0.3873000144958496,0.6707000136375427,30.42,0.0,0.0,0.61
