Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Adv 1;Adv2;Adv3;;;;;;
AOL2C2F;AOL2C2F;123;10;4;2.862610034;0.951399982;0.771099985;0.391299993;0.309199989;;;;;;
AOL2C2F;AOL2C2F;296;10;4;2.97544203;0.952300012;0.763599992;0.354799986;0.288500011;;;;;;
Lip2C2FPool;LipC2FPool;1;20;1;0.154538551;0.809099972;0.642199993;0.481599987;0.450300008;;;;;;
Lip2C2FPool;LipC2FPool;1;20;2;1.742451601;0.944999993;0.757099986;0.396600008;0.322299987;;;;;;
Lip2C2FPool;LipC2FPool;1;20;4;2.92457301;0.964299977;0.744400024;0.306800008;0.241799995;;;;;;
Lip2C2FPool;LipC2FPool;123;20;1;0.243511289;0.860800028;0.702899992;0.526000023;0.486400008;;;;;;
Lip2C2FPool;LipC2FPool;123;20;2;0.805705676;0.911599994;0.749899983;0.522800028;0.46360001;;;;;;
Lip2C2FPool;LipC2FPool;123;20;4;1.278949999;0.94660002;0.76910001;0.419999987;0.334600002;;;;;;
Lip2C2FPool;LipC2FPool;296;20;1;0.713537722;0.915199995;0.771799982;0.57980001;0.531400025;;;;;;
Lip2C2FPool;LipC2FPool;296;20;2;1.364189436;0.956200004;0.823700011;0.555400014;0.476999998;;;;;;
Lip2C2FPool;LipC2FPool;296;20;4;2.234283552;0.97390002;0.826900005;0.439500004;0.339100003;;;;;;
Lip2C2FPool;LipC2FPool;1;20;1;0.90833503;0.943199992;0.820900023;0.61500001;0.559199989;;;;;;
Lip2C2FPool;LipC2FPool;1;20;2;1.749662912;0.972500026;0.845600009;0.532299995;0.4287;;;;;;
Lip2C2FPool;LipC2FPool;1;20;4;3.204052005;0.982200027;0.814499974;0.323900014;0.250099987;;;;;;
Lip2C2FPool;LipC2FPool;123;20;1;0.556647933;0.903999984;0.760399997;0.576499999;0.539600015;;;;;;
Lip2C2FPool;LipC2FPool;123;20;2;1.084619285;0.9472;0.814700007;0.580200016;0.518100023;;;;;;
Lip2C2FPool;LipC2FPool;1;20;1;0.922137336;0.942700028;0.819599986;0.6171;0.560800016;;0.759180484;0.916766663;0.773099999;0.571866671;0.521699995
Lip2C2FPool;LipC2FPool;123;20;1;0.625762379;0.896099985;0.736800015;0.532700002;0.488299996;;;;;;
Lip2C2FPool;LipC2FPool;296;20;1;0.729641737;0.911499977;0.762899995;0.565800011;0.515999973;;;;;;
Lip2C2FPool;LipC2FPool;1;20;2;1.739062325;0.97299999;0.852900028;0.546500027;0.444299996;;1.311620951;0.94933333;0.808600008;0.537833333;0.458066662
Lip2C2FPool;LipC2FPool;123;20;2;0.812237404;0.917599976;0.751999974;0.516799986;0.4551;;;;;;
Lip2C2FPool;LipC2FPool;296;20;2;1.383563124;0.957400024;0.820900023;0.550199986;0.474799991;;;;;;
Lip2C2FPool;LipC2FPool;1;20;4;3.120430161;0.983399987;0.817799985;0.336199999;0.259499997;;2.454842625;0.971199989;0.799899995;0.368000001;0.290099998
Lip2C2FPool;LipC2FPool;123;20;4;1.628804082;0.957499981;0.788299978;0.414900005;0.333799988;;;;;;
Lip2C2FPool;LipC2FPool;296;20;4;2.615293632;0.9727;0.793600023;0.352899998;0.27700001;;;;;;
Lip2C2FPool;LipC2FPool;1;20;1;0.925881457;0.943199992;0.820599973;0.618900001;0.56220001;;;;;;
Lip2C2FPool;LipC2FPool;1;20;2;1.765573822;0.972599983;0.846000016;0.532599986;0.428000003;;;;;;
Lip2C2FPool;LipC2FPool;1;20;4;3.114800861;0.982599974;0.814499974;0.332100004;0.256399989;;;;;;
Lip2C2FPool;LipC2FPool;123;20;1;0.493601901;0.889500022;0.732800007;0.538600028;0.496199995;;;;;;
Lip2C2F;LipC2F;123;20;1;0.950336787;0.966899991;0.884800017;0.725799978;0.684700012;;;;;;
Lip2C2F;LipC2F;123;20;2;1.568389778;0.979799986;0.894299984;0.66869998;0.601999998;;;;;;
Lip2C2F;LipC2F;123;20;4;3.155529582;0.988900006;0.882799983;0.4921;0.39230001;;;;;;
